date_published,title,url,post_id,topic_tags,status
2026-07-17,Common Plumbing Problems in Older Johannesburg & Pretoria Homes,https://www.247plumbersgp.co.za/2026/07/17/common-plumbing-problems-in-older-homes/,11,older-homes,published
2026-07-17,How to Choose the Right Geyser Size for Your Home,https://www.247plumbersgp.co.za/2026/07/17/how-to-choose-the-right-geyser-size/,10,geyser,published
2026-07-17,What Is a PIRB Compliance Certificate — and Do You Need One?,https://www.247plumbersgp.co.za/2026/07/17/what-is-a-pirb-compliance-certificate/,9,pirb-compliance,published
2026-07-17,How Load Shedding Is Quietly Damaging Your Geyser,https://www.247plumbersgp.co.za/2026/07/17/load-shedding-and-your-geyser/,8,geyser-load-shedding,published
2026-07-17,Signs of a Blocked Drain You Shouldn’t Ignore,https://www.247plumbersgp.co.za/2026/07/17/signs-of-a-blocked-drain/,7,drains,published
2026-07-17,How to Fix a Leaking Geyser,https://www.247plumbersgp.co.za/2026/07/17/how-to-fix-a-leaking-geyser/,6,geyser,published
2026-08-04,How to Unblock a Toilet Without a Plunger,https://www.247plumbersgp.co.za/2026/08/04/how-to-unblock-a-toilet-without-a-plunger/,427,toilets,published
2026-08-04,Why Is My Geyser Making a Noise?,https://www.247plumbersgp.co.za/2026/08/04/why-is-my-geyser-making-a-noise/,428,geyser noise,published
2026-08-04,How to Detect a Hidden Water Leak,https://www.247plumbersgp.co.za/2026/08/04/how-to-detect-a-hidden-water-leak/,429,leaks,published
2026-08-04,What Causes Low Water Pressure?,https://www.247plumbersgp.co.za/2026/08/04/what-causes-low-water-pressure/,430,pressure,published
2026-08-04,How to Prevent Burst Pipes in Winter,https://www.247plumbersgp.co.za/2026/08/04/how-to-prevent-burst-pipes-in-winter/,431,pipes-winter,published
2026-08-04,How to Protect Your Geyser During Load Shedding,https://www.247plumbersgp.co.za/2026/08/04/how-to-protect-your-geyser-during-load-shedding/,432,geyser-load-shedding,published
2026-08-04,Do I Need a PIRB Certificate to Sell My House?,https://www.247plumbersgp.co.za/2026/08/04/do-i-need-a-pirb-certificate-to-sell-my-house/,433,pirb-compliance,published
2026-08-04,How to Choose a Plumber in Midrand,https://www.247plumbersgp.co.za/2026/08/04/how-to-choose-a-plumber-in-midrand/,434,local-midrand,published
2026-08-04,Questions to Ask Before Hiring a Plumber,https://www.247plumbersgp.co.za/2026/08/04/questions-to-ask-before-hiring-a-plumber/,435,hiring-a-plumber,published
2026-08-04,What to Do in a Plumbing Emergency,https://www.247plumbersgp.co.za/2026/08/04/what-to-do-in-a-plumbing-emergency/,436,emergency-general,published
2026-08-04,How to Reduce Your Water Bill in South Africa,https://www.247plumbersgp.co.za/2026/08/04/how-to-reduce-your-water-bill-south-africa/,437,water-bill,published
2026-08-04,Solar Geyser vs Electric Geyser: Pros and Cons,https://www.247plumbersgp.co.za/2026/08/04/solar-geyser-vs-electric-geyser-pros-and-cons/,438,geyser-comparison,published
2026-08-04,How Long Does a Geyser Last in South Africa?,https://www.247plumbersgp.co.za/2026/08/04/how-long-does-a-geyser-last-south-africa/,439,geyser,published
2026-08-04,Common Plumbing Problems in Midrand Homes,https://www.247plumbersgp.co.za/2026/08/04/common-plumbing-problems-in-midrand-homes/,440,local-midrand,published
2026-08-04,How to Maintain Your Drains,https://www.247plumbersgp.co.za/2026/08/04/how-to-maintain-your-drains/,441,drains,published
2026-08-04,How Often Should a Geyser Be Serviced?,https://www.247plumbersgp.co.za/2026/08/04/how-often-should-a-geyser-be-serviced/,442,geyser,published
2026-08-04,How to Winterproof Your Plumbing,https://www.247plumbersgp.co.za/2026/08/04/how-to-winterproof-your-plumbing/,443,pipes-winter,published
2026-08-04,How to Find a Water Leak Underground,https://www.247plumbersgp.co.za/2026/08/04/how-to-find-a-water-leak-underground/,444,leaks,published
2026-08-04,Why Do Pipes Burst in Winter in South Africa?,https://www.247plumbersgp.co.za/2026/08/04/why-do-pipes-burst-in-winter-south-africa/,445,pipes-winter,published
2026-08-04,What to Do When a Pipe Bursts,https://www.247plumbersgp.co.za/2026/08/04/what-to-do-when-a-pipe-bursts/,446,pipes-emergency,published
2026-08-04,How to Shut Off Your Main Water Supply,https://www.247plumbersgp.co.za/2026/08/04/how-to-shut-off-your-main-water-supply/,447,general,published
2026-08-04,Plumbing Maintenance Checklist for Homeowners,https://www.247plumbersgp.co.za/2026/08/04/plumbing-maintenance-checklist-for-homeowners/,448,maintenance,published
2026-08-04,How to Fix a Running Toilet,https://www.247plumbersgp.co.za/2026/08/04/how-to-fix-a-running-toilet/,449,toilets,published
2026-08-04,Signs Your Geyser Needs Replacing,https://www.247plumbersgp.co.za/2026/08/04/signs-your-geyser-needs-replacing/,450,geyser,published
2026-08-04,Is It Worth Fixing an Old Geyser?,https://www.247plumbersgp.co.za/2026/08/04/is-it-worth-fixing-an-old-geyser/,451,geyser,published
2026-08-09,Household Plumbing Emergency Statistics You Need to Know in 2026,https://www.247plumbersgp.co.za/2026/08/09/household-plumbing-emergency-statistics-2026/,473,emergency-general,published
2026-08-15,Benefits of a Plumbing Maintenance Contract,https://www.247plumbersgp.co.za/2026/08/15/benefits-of-a-plumbing-maintenance-contract/,504,maintenance,published
2026-08-20,Why Are Your Gutters Overflowing (And How Often Should They Be Cleaned)?,https://www.247plumbersgp.co.za/2026/08/20/why-are-your-gutters-overflowing/,505,gutters,published
2026-08-21,How Often Should a Grease Trap Be Cleaned? A Guide for Midrand & Johannesburg Kitchens,https://www.247plumbersgp.co.za/2026/08/21/how-often-should-a-grease-trap-be-cleaned/,522,commercial-grease-trap,published
