id,image_url,description,platforms,status,caption,added_date,posted_date,post_url
1,https://i.imgur.com/A5MZ9x5.jpg,"Two workers on a flat rooftop at dusk installing a solar water heater - evacuated tube collector array plus tank, with city lights visible in the background. Striking dusk-lit installation shot.",both,pending,,2026-08-30,,
2,https://i.imgur.com/N0G1Szo.jpg,"Paving bricks lifted next to a house wall to expose a poly pipe joint, muddy water pooled in the hole, worker's hands and tools (tape measure, hammer, pliers, bucket) around the excavation.",both,pending,,2026-08-30,,
3,https://i.imgur.com/NIgNghU.jpg,"Worker in blue overalls bent over checking a new wall-mounted basin and chrome tap installed on a wooden vanity cabinet, in a modern grey-tiled bathroom. Clean finished-bathroom install shot.",both,pending,,2026-08-30,,
4,https://i.imgur.com/uDUQUEb.jpg,"Close-up of a geyser heating element pulled out and held in hand, visible scale/mineral buildup on the coil, a multimeter/clamp meter and tools in the background. Diagnostic/element-replacement shot.",both,pending,,2026-08-30,,
5,https://i.imgur.com/RKCoQM9.jpg,"Close-up of a repair coupling/clamp fitted on a pipe underneath lifted paving bricks, in a small dug-out cavity near a wall.",both,pending,,2026-08-30,,
6,https://i.imgur.com/1mqmVP9.jpg,"Toilet cistern open showing the fill valve mechanism being installed/adjusted, worker in a beanie kneeling beside it, buckets on the tiled floor nearby.",both,pending,,2026-08-30,,
7,https://i.imgur.com/aezP2am.jpg,"Outdoor pipes running down a brick house wall, water pooling/flooding on the lawn nearby with a pipe stub sticking up out of the waterlogged ground. Drainage/waterlogging issue in a yard.",both,pending,,2026-08-30,,
8,https://i.imgur.com/XvsuVGf.jpg,"A valve/fitting exposed in a muddy dug-out hole under lifted paving bricks, murky water pooled around it, roots and rebar visible in the mud.",both,pending,,2026-08-30,,
9,https://i.imgur.com/OWmEcvV.jpg,"Outdoor water meter and pressure control valve installation against a house wall, copper pipework bent into shape, an old brass tap beside it, drain grate on the ground nearby.",both,pending,,2026-08-30,,
10,https://i.imgur.com/mi9ddjL.jpg,"Worn toilet + tile floor, plain documentation shot.",both,pending,,2026-08-30,,
11,https://i.imgur.com/7Wt78fh.jpg,"Mid-repair shot: bathroom sink with tap handles and valve stem parts disassembled and laid out on the basin edge, wrench visible.",both,pending,,2026-08-30,,
12,https://i.imgur.com/jbjlPZP.jpg,"Pressure-test setup: gauge (kPa/bar), red ball valve and air line connected to an outdoor standpipe near a storm drain.",both,pending,,2026-08-30,,
13,https://i.imgur.com/CMSS6Pf.jpg,"Outdoor drain/manhole set in brick paving, full of standing murky water, old exposed piping and tap nearby.",both,pending,,2026-08-30,,
14,https://i.imgur.com/ZAGv6Cb.jpg,"Outdoor vertical pipe running down a wall next to a concrete drain grate, dug-up dirt patch beside it.",both,pending,,2026-08-30,,
15,https://i.imgur.com/vDhdseD.jpg,"Geyser install in a roof/attic space, pipework and fittings being connected up among the roof trusses.",both,pending,,2026-08-30,,
16,https://i.imgur.com/YhDJGLD.jpg,"Open toilet cistern showing the internal fill valve mechanism, red valve top, orange float ball.",both,pending,,2026-08-30,,
17,https://i.imgur.com/xz0czRC.jpg,"Geyser installed in a roof/attic space among the trusses and insulation, copper pipework with a visible soldered joint.",both,pending,,2026-08-30,,
18,https://i.imgur.com/foNtRrf.jpg,"JoJo water storage tank installation against a house wall, with a pressure pump, ball valves and piping connected at the base.",both,pending,,2026-08-30,,
